TCM_name;TCM_name_en;Herb_pinyin_name;Herb_latin_name;Properties;Meridian_1;Meridian_2;Meridian_3;Meridian_4;Meridian_5;Meridian_6;UsePart;Function;Indication;Toxicity;Clinical_manifestations;Therapeutic_en_class;Therapeutic_cn_class
西班牙云香草;Spanish Haplophyllum;XI BAN YA YUN XIANG CAO;Haplophyllum hispanicum;;;;;;;;;Anticarcinoma.;;;;;
制桂枝;Prepared Cassia Twig;ZHI GUI ZHI;Ramulus Cinnamomi Preparata;"Warm; Pungent; Sweet";Lung; Bladder; Heart;;;;Cinnamomum cassia Presl.;Treatment of common cold, epigastric pain with cold feeling, amenorrhea due to cold in blood, arthralgia, edema, cardiac palpitation, gastrointestinal neurosis with a feeling of masses of gas rushing up through the chest to the throat from the lower abdomen.;Treatment of common cold, epigastric pain with cold feeling, amenorrhea due to cold in blood, arthralgia, edema, cardiac palpitation, gastrointestinal neurosis with a feeling of masses of gas rushing up through the chest to the throat from the lower abdom;;;For relieving exterior syndrome;解表
煅石膏;Calcined Gypsum;DUAN SHI GAO;Gypsum Fibrosum Preparata;;;;;;;;;Treatment of chronic ulcer, eczema, itch, scalded by boiling water or fire,traumatic bleeding.;Treatment of chronic ulcer, eczema, itch, scalded by boiling water or fire,traumatic bleeding.;;;Heat clearence;清热
;Dzungaria Hogfennel;ZHUN GE ER QIAN HU;Peucedanum morisonii;;;;;;;;root;To dispel wind and dissipate cold, rectify qi and relieve pain.;Wind-cold common cold, cough, stomach cold distending pain;;;;
西黄草;Serrate Rabdosia Equivalent plant: Isodon lophanthoides;XI HUANG CAO;Rabdosia serra;;;;;;;;whole herb;To clear heat and resolve toxin, disinhibit damp and abate jaundice, dissipate stasis and disperse swelling.;Damp-heat jaundice, cholecystitis, diarrhea, dysentery, swelling of sores, painful wound from knocks and falls.;;;;
伏毛山豆根;Hirsute Euchresta;FU MAO SHAN DOU GEN;Euchresta strigillosa;;;;;;;;root;To rectify qi and relieve pain, clear heat and resolve toxin.;Stomachache, enteritis and diarrhea, abdominal distention, abdominal pain, swelling pain in throat.;;;;
三颗针;root or bark of Reddrop Barberry;SAN KE ZHEN;Cortex Berberidis;"Cold; Bitter";;;;;;;"Berberis sargentiana Schneid;Berberis Brachypoda Maxim;Berberis dictyophylla Franch;Berberis soulieana Schneid;Berberis diaphana Maxim;Berberis wilsonae Hemsl;Berberis poiretii Schneid;Berberis Vernae Schneid";For clearing heat and removing toxic substances;;;;Heat clearence;清热
;Bamboo Yellow;ZHU X UANG;Shiraia bambusicola;;;;;;;;stroma and spore;To transform phlegm and relieve cough, quicken blood and dispel wind, disinhibit damp.;Cough and abundant phlegm, pertussis, vaginal discharge, stomachache, wind-damp impediment pain, infant fright wind, knocks and falls.;;;;
生枣;;SHENG ZAO;Chorda filum;;;;;;;;frond;To soften hardness, dispel phlegm, disinhibit urine, lower blood pressure.;Scrofula, goiter and carcinoma of neck, hypertension.;;;;
青礞石;Chlorite Schist;QING MENG SHI;Lapis Chloriti;"Mild; Sweet; Salty";Lung; Liver;;;;;;Treatment of cough and dyspnea due to retained phlegm, epilepsy, mania, restlessness with distress in the chest, convulsions.;Treatment of cough and dyspnea due to retained phlegm, epilepsy, mania, restlessness with distress in the chest, convulsions.;;;For desolving phlegm, stopping cougth, and soothing breathing;化痰止咳平喘
珊瑚;Coral;SHAN HU;Os Corallii;"Mild; Sweet";Liver; Heart;;;;;;Supression and spirit calming;;;;Spirit calming;安神
猪靥;Pig Theroid;ZHU YE;Thyreoid sus domestica;"Cold; Sweet; Neutral";Lung; Stomach; Heart;;;;;Treatment of: 1. Thirst in febrile disease. Bamboo leaf (Zhuye) is used with Gypsum (Shigao) and Ophiopogon root (Maidong) in the formula Zhuye Shigao Tang. 2. Flaring up of heart fire manifested as ulceration in the mouth or on the tongue, or heart fire shifting to the small intestine manifested as dribbling urination. Bamboo leaf (Zhuye) is used with Clematis stem (Mutong) and Fresh rehmannia root (Shengdihuang) in the formula Daochi San.;;;;;
蜂蜡;Beeswax;FENG LA;Cera Flava;;;;;;;;"Apis cerana Fabricius.;Apis mellifera Linnaeus.";Treatment of ulcer difficulty to heal, wounds, burns and scalds.;Treatment of ulcer difficulty to heal, wounds, burns and scalds.;;;;
天冬;Cochinchinese Asparagus Root;TIAN DONG;Radix Asparagi;"Cold; Sweet; Bitter";Lung; Kidney;;;;;;To replenish yin, promote fluid secretion and moisten the lung.;1. Asparamide is an expectorant, antitussive and antiasthmatic.2. Inhibiting the cell growth of acute lymphocytic, acute monocytic and chronic granulocytic leukemias in vitro.;;1. Asparamide is an expectorant, antitussive and antiasthmatic.2. Inhibiting the cell growth of acute lymphocytic, acute monocytic and chronic granulocytic leukemias in vitro.;Yin-Tonifying Medicinal;补阴药
炙草;Prepared Root of Ural Licorice;ZHI CAO;Radix Glycyrrhizae Praeparata;"Mild; Sweet";Lung; Spleen; Stomach;;;;"Glycyrrhiza uralensis Fisch; Glycyrrhiza inflate Bat.;Glycyrrhiza glabra L.";Treatment of deficiency of spleen and stomach, lassitude, palpitation, arrhythmia.;Treatment of deficiency of spleen and stomach, lassitude, palpitation, arrhythmia.;;;For tonifying weakness;补虚
;Black-powder Fungus in Corn;YU MI HEI MEI;Ustilago maydis;;;;;;;;sporocarp;To fortify spleen and stomach, disinhibit liver and gallbladder, quiet spirit.;Hepatitis, ulcer in gastrointestinal tract, indigestion, gan accumulation, insomnia.;;;;
棱枝槲寄生;Angulate Mistletoe;LENG ZHI HU JI SHENG;Viscum angulatum;;;;;;;;stem-leaf;To dispel wind-damp, strengthen sinews and bones, relieve cough, disperse swelling, lower blood pressure.;Wind-damp impediment pain, aching in lumbus and legs, cough, hemoptysis, stomachache, stirring fetus disquieted, sore and boil, hypertension.;;;;
茯苓皮;Indian Bread peel;FU LING PI;Exodermis Poria;"Mild; Sweet; Neutral";Spleen; Heart; Kidney;;;;Poroa cocos (Schw.) Wolf.;Treatment of edema with oliguria, dizziness and palpitation caused by retained fluid, diminished function of the spleen marked by anorexia, loose stools or diarrhea, restlessness and insomnia.;1. An active component pachyman promotes macrophage phagocytosis in mice, and enhances lymphocyte-blastogensis rate in vitro.2. Preventing the formation of gastric ulcer under stress in rats3. Diuretic and liver-protective.;;1. An active component pachyman promotes macrophage phagocytosis in mice, and enhances lymphocyte-blastogensis rate in vitro.2. Preventing the formation of gastric ulcer under stress in rats3. Diuretic and liver-protective.;For promoting diuresis and penetrating dampness;利水渗湿
椒目;seed of bunge pricklyash;JIAO MU;semen zanthoxyli bungeani;"Cold; Bitter";Lung; Bladder; Kidney;;;;"Zanthoxylum bungeanum maxim;Zanthoxylum schinfolium sieb et Zucc";For warming interior;;;;For warming interior;温里
南沙参;Fourleaf Ladybell Root;NAN SHA SHEN;Radix Adenophorae;;;;;;;;;To nourish yin and remove heat from the lung, to relieve phlegm, and to reinforce qi.;Treament of heat in the lung with dry cough, cough with scanty sticky sputum in phthisis with deficiency of yin , deficiency of both qi and yin with feverishness and thirst.;;;Yin-Tonifying Medicinal;补阴药
刺猬皮;Hedgedog Skin;CI WEI PI;Corium Erinacei Seu Hemiechianus;"Mild; Bitter";Large Intestine; Stomach; Kidney;;;;;For stablizing period, controlling urine and reducing heavy blood-flow;;;;Astriction;收涩
豆蔻;Round Cardamon Fruit;DOU KOU;Fructus Amomi Rotundus;;;;;;;;;To resolve damp, to remove stagnancy of food, and to promote digestion.;Treatment of loss of appetite due to accumulation of turbid damp in the spleen and stomach, feeling of suffocation in the chest with anorexia at the early stage of damp-warm syndromes, nausea, vomiting, distension and pain in the chest and abdomen caused ;;;Dampness Removing Drugs;化湿药
九香虫;Stink-bug;JIU XIANG CHONG;Aspongopus;"Warm; Salty";Spleen; Liver; Kidney;;;;Aspongopus chinensis Dallas;Treatment of epigastric pain with distension due to cold in the stomach or due to stagnation of qi in the liver and stomach, impotence and aching of the loins and knees in deficiency syndromes of kidney.;Treatment of epigastric pain with distension due to cold in the stomach or due to stagnation of qi in the liver and stomach, impotence and aching of the loins and knees in deficiency syndromes of kidney.;;;Regulation of qi;理气
制没药;Myrrhtree gum resin;ZHI MO YAO;Myrrha Praeparata;"Mild; Pungent; Bitter";Spleen; Liver; Heart; Kidney;;;Commiphora myrrha Engl;Treatment of pains caused by blood stagnation;1. Its aqueous infusion inhibits the growth of skin fungi such as Trichophyton violaceum.2. Inhibiting the excessive secretion of bronchi and uterus.;;1. Its aqueous infusion inhibits the growth of skin fungi such as Trichophyton violaceum.2. Inhibiting the excessive secretion of bronchi and uterus.;Blood activation and stasis removal;活血化淤
旱莲草;eclipta;HAN LIAN CAO;Herba Ecliptae Prostratae;"Cold; Sweet; Sour";Liver; Kidney;;;;;Eclipta prostrata L.;For tonifying ying;;;;For tonifying weakness;补虚
两面针;Shinyleaf Pricklyash Root;LIANG MIAN ZHEN;Radix Zanthoxyli;"Mild; Pungent; Bitter";Stomach; Liver;;;;;;To promote the flow of qi, relieve pain, to eliminate blood stasis, to promote blood circulation and dispel wind.;Treatment of traumatic injury, rheumatic arthralgia, stomach-ache, teethache, bitten by venomous snake, applied for burn caused by hot liquid or fire.;Toxic;;Wind-Dampnessdispelling And Colddispersing Medicinal;祛风湿散寒药
水金凤;Lightyellow Snapweed;SHUI JIN FENG;Impatiens nolitangere;;;;;;;;root or whole herb;To quicken blood and regulate menstruation, dispel wind and eliminate damp. menstrual block, knocks and falls, wind-damp impediment pain, leg qi swelling and pain, damp-swelling in scrotum, lichen sore, lai sore.;;;;;
枣仁;seed of spine date;ZAO REN;semen zizphi spinosae;"Mild; Sweet; Sour";Spleen; Liver; Heart; Gallbladder;;;Ziziphus jujuba var spinosa (Bunge)Hu;Treatment of insomnia, dream-disturbed sleep, excessive sweating due to debility, thirst due to consumption of body fluid.;The chief components are jujuboside A and B. 1. Intraperitoneal injection its decoction ( 2.5-5.0g/kg ) exerts sedative and hypnotic effects in rats. 2. Intravenous injection of its decoction exerts significant and proloned hypotensive effect in anesthetized dogs. 3. Occasionally causing heart block. 4. Inducing hysterospasm.;;The chief components are jujuboside A and B. 1. Intraperitoneal injection its decoction ( 2.5-5.0g/kg ) exerts sedative and hypnotic effects in rats. 2. Intravenous injection of its decoction exerts significant and proloned hypotensive effect in anestheti;Spirit calming;安神
禹州漏芦;Globethistle Root;YU ZHOU LOU LU;Radix Echinopsis;;;;;;;;;To remove heat and counteract toxicity, drainage of pus, stanch bleeding, to cure sores and carbuncles, increase the secretion of milk.;Treatment of sores, carbuncles, swelling and pain due to mastitis, galactostasis, tuberculosis of lypmhaden, pyogenic infection. It can be used as antheimintic.;;;External Medicinal (Draw Out Toxin, Resolve Putridity);拔毒化腐生肌药
生地黄;Fresh rehmannia root;SHENG DI HUANG;Radix Rehmanniae;"Cold; Sweet; Bitter";Liver; Heart; Kidney;;;;Rehmannia gultinosa Libosch.;Treatment of exogenous heat invading at the nutritive and blood levels manifested as dry mouth and deep red tongue proper with scanty coating. Fresh rehmannia root (Shengdihuang) is used with Scrophularia (Xuanshen), Rhinoceros horn (Xijiao) and Ophiopogon root;1. Its decoction exerts a protective effect on experimental hepatitis of mice induced by carbon tetrachloride.2. Gastric feeding or injection of its decoction, water infusion or alcoholic extract can lower the blood sugar level in rabbits (this result is controversial in the recent years).3. Intravenous injection of its extract exerts a hypertensive and diuretic effect in rabbits and dogs.4. Its alcoholic extract shortens the blood coagulation time in rabbits.5. Its water infusion inhibits the growth of some pathogenic fungi.;;1. Its decoction exerts a protective effect on experimental hepatitis of mice induced by carbon tetrachloride.2. Gastric feeding or injection of its decoction, water infusion or alcoholic extract can lower the blood sugar level in rabbits (this result is ;Heat clearence;清热
丁香油;Clove oil;DING XIANG YOU;Oleum Caryophylli;"Warm; Pungent";Spleen; Stomach; Kidney;;;;Eugenia caryophylata Thunb;To warm the spleen and stomach, to regulate the adverse flow of the stomach qi, and to restore the kidney yang.;;;;;
肉桂叶;Cassia Bark Oil;ROU GUI YOU;Oleum Cinnamomi;;;;;;;;Cinnamomum cassia Presl.;Treatment of carminative and stomachic.;Treatment of carminative and stomachic.;;;;
牡荆油;Negundo Chastetree Oil;MU JING YOU;Oleum Viticis Negundo;;;;;;;;Vitex negundo L. var. cannabis ( Sieb. et Zucc. ) Hand. -Mazz.;Treament of chronic bronchitis.;Treament of chronic bronchitis.;;;;
人工牛黄;Artificial Bezoar;REN GONG NIU HUANG;Calculus Bovis Artificiosus;"Cool; Bitter";Liver; Heart;;;;;;For clearing heat and removing toxic substances;;;;Heat clearence;清热
白蒺藜;Tribulus fruit;BAI JI LI;Fructus Tribuli;"Warm; Bitter";Lung; Liver;;;;;Tribulus terestris L.;Treatment of headache and dizziness, distending pain in the chest and costal regions, cessation of milk secretion, mastitis, redness of the eye with formation of nebula, urticaria with itching.;Treatment of headache and dizziness, distending pain in the chest and costal regions, cessation of milk secretion, mastitis, redness of the eye with formation of nebula, urticaria with itching.;;;For calming liver and containing wind;平肝息风
海马;Sea-horse;HAI MA;Hippocampus;"Warm; Sweet; Salty";Liver; Kidney;;;;;"Hippocampus kelloggi Jordan et Snyder.;Hippocampus histrix Kaup.; Hippocampus kuda Bleeker.; Hippocampus trimaculatus Leach.;Hippocampus japonicus Kaup";Treatment of impotence, enuresis, dyspnea in deficiency syndrome of the kidney, mass in the abdomen, traumatic injuries, external use for carbuncles and boils.;Exerting gonadotropic effect, ie., prolonging estruation and increasing the weight of ovary and uterus in female mice and that of prostate, seminal vesicl and musculi levator ani in male mice.;;Exerting gonadotropic effect, ie., prolonging estruation and increasing the weight of ovary and uterus in female mice and that of prostate, seminal vesicl and musculi levator ani in male mice.;For tonifying weakness;补虚
代赭石;Hematite, Red ochre;DAI ZHE SHI;Haematitum;"Cold; Bitter";Liver; Heart;;;;;;Treatment of deficient yin of the liver and kidneys and hyperactivity of liver yang manifested as distension and pain in the head and eyes, dizziness and vertigo. Red ochre (Daizheshi) is used with Dragon's bone (Longgu), Oyster shell (Muli), White peony root (Bais;Treatment of deficient yin of the liver and kidneys and hyperactivity of liver yang manifested as distension and pain in the head and eyes, dizziness and vertigo. Red ochre (Daizheshi) is used with Dragon's bone (Longgu), Oyster shell (Muli), White peony ;;;For calming liver and containing wind;平肝息风
遍地锦;Wight’s StJohn’swort Equivalent plant: Hypericum elodeoides;BIAN DI JIN;Hypericum wightianum;;;;;;;;whole herb;To clear heat and resolve toxin, arrest diarrhea.;White mouth sore in children, infant pneumonia, stomatitis, mammary welling abscess, yellow-water sore, poisonous snake bites, diarrhea, enduring dysentery.;;;;
